id,title,company,level,required_skills,nice_to_have,years_experience,salary_range
jd_0001,Tech Lead (Full Stack),Pixel Craft Studio,Senior,"Next.js, TypeScript, Prisma, PostgreSQL, Tailwind CSS, Vercel, Git, REST APIs","Playwright, Accessibility, Cypress",6,"$132,000 - $162,000"
jd_0002,Senior Full Stack Developer,LightSpeed Dev,Senior,"React, Ruby on Rails, PostgreSQL, Redis, Sidekiq, Docker","Accessibility, Storybook, Playwright, Performance Optimization",7,"$145,000 - $175,000"
jd_0003,ML Engineer I,Apex Cloud Inc.,Junior,"Python, LLMs, RAG, Vector Databases, LangChain, Fine-tuning, API Integration, Git, MLflow, HuggingFace","Seldon, BentoML, Ray Serve",1,"$70,000 - $90,000"
jd_0004,Software Engineer I,Synapse AI Labs,Junior,"Kotlin, Java, Android SDK, REST APIs, Git, Unit Testing","DuckDB, Apache Arrow, gRPC streaming",2,"$66,000 - $86,000"
jd_0005,Entry-Level ML Developer,Quantum Dynamics,Junior,"Python, Time Series, Prophet, LSTM, Pandas, SQL","Model Monitoring, Grafana, Evidently, Prometheus",1,"$64,000 - $84,000"
jd_0006,Senior Backend Engineer,JupiterCloud,Senior,"Python, Flask, SQLAlchemy, PostgreSQL, Docker, Git, REST APIs, Pytest, Java","Redis Streams, Apache Avro, Schema Registry, ksqlDB",7,"$132,000 - $162,000"
jd_0007,Staff Software Engineer,Stellar Innovations,Lead,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, Java, Spark","Elixir, GenServer, LiveView, Phoenix, PubSub",8,"$165,000 - $205,000"
jd_0008,Associate Cloud Engineer,BetaOps Inc.,Junior,"GCP, Terraform, GKE, Docker, Linux, Python","Packer, Golden Images, AMI, CIS Benchmarks, Image Hardening",1,"$68,000 - $88,000"
jd_0009,Software Developer,PulseDev Corp,Mid,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, Scala","Observability, Vector DBs, ML basics, LLM APIs, Python",3,"$97,000 - $122,000"
jd_0010,Research Analyst,GigaStack Inc.,Mid,"Python, SQL, Statsmodels, Seaborn, Jupyter, Experiment Design, Pandas, Storytelling","Airflow, Data Quality, ETL",5,"$90,000 - $115,000"
jd_0011,Data Analyst (Scientist Track),EvolveCloud,Junior,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics, Jupyter, Spark, BigQuery","Dashboard Automation, Redash, Metabase, Looker",2,"$66,000 - $86,000"
jd_0012,Senior Web Engineer,DeepSight Labs,Senior,"React, Python, Flask, PostgreSQL, Celery, Docker, Git, REST APIs","SWR, React Query, Zustand, State Management, Jotai",8,"$132,000 - $162,000"
jd_0013,Frontend + Backend Lead,GridAxis Solutions,Lead,"React, Golang, PostgreSQL, gRPC, Docker, Kubernetes, Git, REST APIs, CI/CD, Angular","tRPC, Swagger, Contract Testing, API Design, OpenAPI",10,"$160,000 - $200,000"
jd_0014,Head of Engineering,QuantumLeap Tech,Lead,"React, Next.js, TypeScript, PostgreSQL, GraphQL, Docker, Git, Tailwind CSS","Full-Text Search, Meilisearch, Elasticsearch, OpenSearch",9,"$170,000 - $210,000"
jd_0015,Backend Engineer,Pixel Craft Studio,Mid,"Go, gRPC, Distributed Systems, Kafka, Redis, PostgreSQL","A/B Testing, OpenAPI, Feature Flags",4,"$92,000 - $118,000"
jd_0016,Senior DevOps Engineer,DeepSight Labs,Senior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker","Load Balancing, Nginx, Traffic Management, Envoy",8,"$130,000 - $160,000"
jd_0017,Applied Data Scientist,Quantum Dynamics,Mid,"Python, SQL, Pandas, NumPy, Statistics, Tableau, Jupyter","Bayesian Modeling, Stan, Probabilistic Programming, MCMC, PyMC",4,"$93,000 - $119,000"
jd_0018,Staff ML Engineer,PeakSoft Labs,Senior,"Python, A/B Testing, Causal Inference, Statistics, SQL, Pandas","Scala, Delta Lake, Spark MLlib, Databricks",6,"$128,000 - $158,000"
jd_0019,Research Engineer,XcelCloud,Mid,"Python, NLP, spaCy, Transformers, BERT, MLflow, SQL","Delta Lake, Scala, Spark MLlib",4,"$88,000 - $112,000"
jd_0020,Principal Data Scientist,LightSpeed Dev,Senior,"R, Python, SQL, ggplot2, Shiny, Statistics, Data Cleaning, Storytelling, Recommendation Engine, Pandas","Stacking, LightGBM, GBM, Ensemble Methods",6,"$132,000 - $162,000"
jd_0021,Associate AI Engineer,MangoSoft,Junior,"Python, LLMs, RAG, Vector Databases, LangChain, Fine-tuning","Data Quality, Great Expectations, Tecton, Feast, dbt",1,"$62,000 - $82,000"
jd_0022,Applied ML Engineer,NeuralPath Inc.,Mid,"Python, Graph Neural Networks, PyTorch Geometric, NetworkX, Feature Engineering, SQL","TPU Programming, Distributed Training, XLA",3,"$88,000 - $112,000"
jd_0023,Data Analyst (Scientist Track),Synapse AI Labs,Junior,"Python, SQL, Pandas, NumPy, Statistics, Tableau, Jupyter, A/B Testing, Matplotlib","Docker, MLOps, API Integration",1,"$62,000 - $82,000"
jd_0024,Junior Software Engineer,EvolveCloud,Junior,"C++, Multithreading, System Programming, Linux, CMake, Git, Performance Optimization, REST APIs, Docker","Elixir, Phoenix, GenServer",1,"$68,000 - $88,000"
jd_0025,Entry-Level ML Developer,SkyBridge Tech,Junior,"Python, LLMs, RAG, Vector Databases, LangChain, Fine-tuning","Tecton, Feast, Great Expectations, dbt, Data Quality",1,"$68,000 - $88,000"
jd_0026,Applied Data Scientist,FusionTech Systems,Mid,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing, Jupyter","Stacking, CatBoost, Ensemble Methods, LightGBM",3,"$95,000 - $120,000"
jd_0027,Lead Data Scientist,BluePeak Solutions,Lead,"Python, SQL, dbt, Looker, Statistics, A/B Testing, Pandas","Data Quality, Data Engineering, dbt",8,"$180,000 - $220,000"
jd_0028,Principal SRE,Meridian Analytics,Lead,"AWS, Ansible, Terraform, EC2, VPC, Linux, Python, CI/CD, Kubernetes","Rightsizing, Spot Instances, FinOps, Cloud Cost Management, Reserved Instances",8,"$165,000 - $205,000"
jd_0029,Senior Full Stack Developer,SkyBridge Tech,Senior,"React, Python, FastAPI, PostgreSQL, Redis, Docker, Git, REST APIs","OpenAPI, API Design, Swagger, tRPC",6,"$132,000 - $162,000"
jd_0030,Head of Data Science,KeystoneAI,Lead,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics, Jupyter","Metabase, Redash, Dashboard Automation",9,"$175,000 - $215,000"
jd_0031,Senior Software Engineer,YottaData Inc.,Senior,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, Docker","Apache Avro, Schema Registry, Redis Streams",8,"$145,000 - $175,000"
jd_0032,Platform Engineer,VectorBase Inc.,Mid,"C#, .NET, Azure, SQL Server, REST APIs, Git, Unit Testing, Agile, Docker","Feature Flags, OpenAPI, A/B Testing, Azure, Contract Testing",4,"$93,000 - $119,000"
jd_0033,Associate SDE,HorizonTech,Junior,"Java, Microservices, Kafka, Spring Cloud, Redis, PostgreSQL, Docker, Kubernetes, REST APIs","React, Apache Pulsar, TypeScript, OpenTelemetry, Elasticsearch",1,"$64,000 - $84,000"
jd_0034,Research Analyst,HorizonTech,Mid,"Python, SQL, Pandas, Scikit-learn, Feature Engineering, Statistics, Jupyter, Tableau","Sentiment Analysis, BERT, spaCy, Entity Recognition",3,"$93,000 - $119,000"
jd_0035,Full Stack Developer I,TurboStack,Junior,"Vue.js, Laravel, PHP, MySQL, REST APIs, Docker","SVG, Canvas API, D3.js, Three.js",2,"$68,000 - $88,000"
jd_0036,Software Engineer I,OceanTech,Junior,"Python, FastAPI, PostgreSQL, Redis, Docker, Git, REST APIs, TDD","OpenTelemetry, Kotlin, gRPC",0,"$60,000 - $80,000"
jd_0037,Software Engineer,Velocity Software,Mid,"Python, C++, Algorithm Design, Data Structures, System Design, Linux, Git","LLM APIs, Observability, Python, ML basics",5,"$95,000 - $120,000"
jd_0038,Junior Data Scientist,LatticeWorks,Junior,"Python, SQL, dbt, Looker, Statistics, A/B Testing, Pandas, Data Pipelines, Git","Community Detection, Graph Analytics, NetworkX",2,"$66,000 - $86,000"
jd_0039,Senior ML Engineer,PeakSoft Labs,Senior,"Python, LLMs, RAG, Vector Databases, LangChain, Fine-tuning","Julia, Distributed Training, TPU Programming",7,"$132,000 - $162,000"
jd_0040,Research Engineer,SkyBridge Tech,Mid,"Python, Kubeflow, MLflow, Airflow, Feature Store, SQL, Spark, Docker, Pandas","SIMD, Memory Optimization, C++, Profiling",3,"$100,000 - $125,000"
jd_0041,Senior Research Scientist,Synapse AI Labs,Senior,"R, Python, SQL, ggplot2, Shiny, Statistics, Data Cleaning, Storytelling","Link Prediction, NetworkX, Community Detection",8,"$145,000 - $175,000"
jd_0042,Staff Engineer,HaloTech Systems,Senior,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, gRPC","ksqlDB, Schema Registry, Apache Avro",8,"$130,000 - $160,000"
jd_0043,Machine Learning Developer,PulseDev Corp,Mid,"Python, TensorFlow, Keras, Pandas, NumPy, MLOps, SQL, Cloud Platforms, PyTorch Geometric","Real-time Inference, ONNX Runtime, Edge Deployment, Go, Kafka",3,"$93,000 - $119,000"
jd_0044,Chief Data Scientist,FlowData Corp,Lead,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics, Jupyter, Spark","LightGBM, CatBoost, GBM, Ensemble Methods, Stacking",10,"$180,000 - $220,000"
jd_0045,Senior SDE,BetaOps Inc.,Senior,"C++, Go, Microservices, Kubernetes, Docker, PostgreSQL, System Design, Agile","Elasticsearch, React, OpenTelemetry, TypeScript, Apache Pulsar",5,"$132,000 - $162,000"
jd_0046,Full Stack Developer I,PeakSoft Labs,Junior,"React, Node.js, TypeScript, DynamoDB, Lambda, AWS, Git","Infrastructure as Code, GitOps, AWS CDK, CI/CD",2,"$65,000 - $85,000"
jd_0047,Associate SDE,HexaData Corp,Junior,"Go, Kubernetes, gRPC, Prometheus, PostgreSQL, Linux, Git, CI/CD","OpenTelemetry, Ktor, Kotlin",2,"$70,000 - $90,000"
jd_0048,Senior ML Engineer,OmniData Systems,Senior,"Python, Multi-modal Models, Vision-Language, CLIP, PyTorch, Docker","Kubernetes, Seldon, BentoML, Model Registry",6,"$132,000 - $162,000"
jd_0049,DevOps Engineer,BrightMind AI,Mid,"Azure, Terraform, AKS, Docker, Linux, PowerShell, CI/CD, IaC, Argo CD, Helm","Admission Controllers, RBAC, OPA, Policy as Code",3,"$93,000 - $119,000"
jd_0050,Senior SRE,RiftData Labs,Senior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible","Admission Controllers, RBAC, OPA, Kyverno, Policy as Code",7,"$138,000 - $168,000"
jd_0051,Principal Research Scientist,LightSpeed Dev,Lead,"Python, SQL, Power BI, DAX, Excel, Statistics, Data Cleaning","Delta Lake, Databricks, Spark MLlib",9,"$155,000 - $195,000"
jd_0052,Senior DevOps Engineer,Stellar Innovations,Senior,"GCP, Terraform, GKE, Docker, Linux, Python","Dynatrace, OpenTelemetry, DataDog, New Relic, Distributed Tracing",7,"$140,000 - $170,000"
jd_0053,SDE II,FusionTech Systems,Mid,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs, Microservices","TypeScript, Apache Pulsar, OpenTelemetry, Elasticsearch, React",4,"$90,000 - $115,000"
jd_0054,Platform Engineer,OceanTech,Mid,"Java, Spring Boot, Hibernate, MySQL, Maven, Git, REST APIs, Microservices, Go","CQRS, DDD, Event Sourcing",4,"$97,000 - $122,000"
jd_0055,Senior Data Scientist,CoreLogic Labs,Senior,"Python, SQL, dbt, Looker, Statistics, A/B Testing, Pandas, Data Pipelines, SciPy","Graph Analytics, NetworkX, Link Prediction, Community Detection, Neo4j",7,"$140,000 - $170,000"
jd_0056,Product Engineer,Cascade Systems,Mid,"Vue.js, Laravel, PHP, MySQL, REST APIs, Docker","Contract Testing, tRPC, Swagger, OpenAPI",4,"$100,000 - $125,000"
jd_0057,Principal ML Engineer,IronForge Tech,Senior,"Python, PyTorch, Distributed Training, NCCL, GPU Optimization, CUDA, Linux, Git","CUDA, Model Quantization, Rust, C++, TensorRT",7,"$128,000 - $158,000"
jd_0058,Senior SDE,PeakSoft Labs,Senior,"Java, Scala, Apache Kafka, Spark, System Design, Git, REST APIs, JUnit, SQL","gRPC streaming, Go, WebSockets, DuckDB, Apache Arrow",7,"$128,000 - $158,000"
jd_0059,Senior Platform Engineer,Nexus Engineering,Senior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible, Linux","ArgoCD, GitOps, FluxCD, Canary Deployments, Progressive Delivery",7,"$132,000 - $162,000"
jd_0060,Principal SRE,CoreLogic Labs,Lead,"Multi-Cloud, AWS, Azure, Terraform, Kubernetes, Docker","Reserved Instances, Rightsizing, Spot Instances, Cloud Cost Management, FinOps",10,"$170,000 - $210,000"
jd_0061,Principal SDE,FlowData Corp,Lead,"Java, Python, Data Structures, Algorithms, System Design, REST APIs","Kotlin, Apache Flink, Event Sourcing, CQRS",10,"$170,000 - $210,000"
jd_0062,Associate Data Scientist,Nexus Engineering,Junior,"Python, SQL, Anomaly Detection, Time Series, Pandas, Scikit-learn, Statistics, Git","Airflow, ETL, Data Quality, dbt, Data Engineering",1,"$62,000 - $82,000"
jd_0063,Senior Research Engineer,VectorBase Inc.,Senior,"Python, A/B Testing, Causal Inference, Statistics, SQL, Pandas, Experimentation Platform, Git, Hyperparameter Tuning","Bayesian Inference, R, Probabilistic Programming, PyMC",6,"$132,000 - $162,000"
jd_0064,Associate AI Engineer,PulseDev Corp,Junior,"Python, SageMaker, AWS, MLOps, Scikit-learn, Pandas","Edge Deployment, Real-time Inference, ONNX Runtime, Go, Kafka",1,"$64,000 - $84,000"
jd_0065,Applied ML Engineer,FusionTech Systems,Mid,"Python, TensorFlow, Keras, Pandas, NumPy, MLOps, SQL, Cloud Platforms","Real-time Inference, Kafka, Go, ONNX Runtime, Edge Deployment",5,"$95,000 - $120,000"
jd_0066,Cloud Engineer,FlowData Corp,Mid,"Kubernetes, Argo CD, GitOps, Terraform, AWS, Docker, Linux","eBPF, Kernel Networking, Performance Tuning, Go",4,"$100,000 - $125,000"
jd_0067,SDE II,DeepSight Labs,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","AWS, GraphQL, Terraform, Prometheus",3,"$92,000 - $118,000"
jd_0068,Senior Backend Engineer,DataNexus Corp,Senior,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs, Microservices","Protocol Buffers, gRPC, Ktor, OpenTelemetry",6,"$128,000 - $158,000"
jd_0069,Junior Cloud Engineer,Tandem Systems,Junior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker, Linux, AWS","Spot Instances, Reserved Instances, Rightsizing",0,"$66,000 - $86,000"
jd_0070,Cloud Engineer,Velocity Software,Mid,"Kubernetes, Cilium, Service Mesh, Istio, Terraform, AWS, Linux, Python","Load Balancing, Traffic Management, Envoy, Nginx",4,"$92,000 - $118,000"
jd_0071,Infrastructure Engineer,ZenithSoft,Mid,"Terraform, Pulumi, AWS, GCP, Kubernetes, Docker, Python, CI/CD, Fargate","OpenTelemetry, Distributed Tracing, New Relic, DataDog, Dynatrace",3,"$100,000 - $125,000"
jd_0072,Head of ML,Quantum Dynamics,Lead,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs","Kubernetes, Seldon, BentoML, Model Registry",9,"$165,000 - $205,000"
jd_0073,Principal Data Scientist,FusionTech Systems,Senior,"Python, SQL, Pandas, Matplotlib, Seaborn, Statistics, Excel","PyMC, MCMC, Bayesian Modeling, Probabilistic Programming, Stan",6,"$128,000 - $158,000"
jd_0074,Senior Web Engineer,CoreLogic Labs,Senior,"React, Node.js, TypeScript, DynamoDB, Lambda, AWS, Git","State Management, Zustand, React Query, SWR",6,"$140,000 - $170,000"
jd_0075,SDE II,LightSpeed Dev,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","CQRS, Kotlin, Apache Flink, Event Sourcing, DDD",4,"$88,000 - $112,000"
jd_0076,Senior Backend Engineer,GridAxis Solutions,Senior,"Go, gRPC, Distributed Systems, Kafka, Redis, PostgreSQL, Docker, Linux","Kotlin, Protocol Buffers, gRPC, OpenTelemetry, Ktor",7,"$132,000 - $162,000"
jd_0077,Senior ML Engineer,VectorBase Inc.,Senior,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Feature Engineering","Evidently, Data Drift, Model Monitoring, Grafana, Prometheus",7,"$128,000 - $158,000"
jd_0078,Applied Data Scientist,IronForge Tech,Mid,"Python, SQL, Pandas, Monte Carlo Simulation, Statistics, Excel, Risk Modeling, Jupyter, Seaborn","Docker, Model Deployment, API Integration, MLOps",4,"$97,000 - $122,000"
jd_0079,Director of Analytics,Synapse AI Labs,Lead,"Python, SQL, Spark, BigQuery, Tableau, Statistics, A/B Testing, Business Intelligence, Statsmodels","GBM, LightGBM, Stacking, Ensemble Methods",9,"$165,000 - $205,000"
jd_0080,Senior Platform Engineer,NovaSky Technologies,Senior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker, Linux","OpenTelemetry, Dynatrace, New Relic",6,"$140,000 - $170,000"
jd_0081,Software Engineer I,Cascade Systems,Junior,"Go, gRPC, Distributed Systems, Kafka, Redis, PostgreSQL, Docker, Linux, Git","Protocol Buffers, gRPC, OpenTelemetry",2,"$66,000 - $86,000"
jd_0082,Junior Web Developer,OmniData Systems,Junior,"Vue 3, Nuxt, TypeScript, PostgreSQL, Pinia, Docker, Git","PWA, Web Workers, WebAssembly",2,"$70,000 - $90,000"
jd_0083,SDE II,JupiterCloud,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","Azure, A/B Testing, Feature Flags, OpenAPI, Contract Testing",4,"$92,000 - $118,000"
jd_0084,Lead Analyst,SkyBridge Tech,Senior,"Python, R, SQL, Statistics, Machine Learning, Scikit-learn, Data Visualization, Hypothesis Testing, Pandas","Airflow, Data Quality, dbt, Data Engineering, ETL",8,"$140,000 - $170,000"
jd_0085,Software Engineer I,Apex Cloud Inc.,Junior,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, Celery","gRPC streaming, Apache Arrow, DuckDB, WebSockets, Go",2,"$66,000 - $86,000"
jd_0086,Senior SRE,BluePeak Solutions,Senior,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation","AMI, Packer, Image Hardening, Golden Images",7,"$140,000 - $170,000"
jd_0087,Junior Web Developer,ClearPath AI,Junior,"Angular, Spring Boot, Java, MySQL, REST APIs, Docker, Git, CI/CD, Next.js","Redis Pub/Sub, Kafka, WebSockets, Server-Sent Events, Real-time",1,"$60,000 - $80,000"
jd_0088,Staff Full Stack Engineer,InfiniteOps,Senior,"React, Django, Python, PostgreSQL, Celery, Redis, Docker, Git, Flask","Three.js, SVG, Data Visualization",6,"$130,000 - $160,000"
jd_0089,DevOps Engineer,CoreLogic Labs,Mid,"Azure, Terraform, AKS, Docker, Linux, PowerShell, CI/CD, IaC, Ansible","Policy as Code, Kyverno, OPA, Admission Controllers, RBAC",3,"$90,000 - $115,000"
jd_0090,Software Engineer (Full Stack),NeuralPath Inc.,Mid,"React, Django, Python, PostgreSQL, Celery, Redis","Playwright, Accessibility, Performance Optimization, Storybook, Cypress",3,"$88,000 - $112,000"
jd_0091,Senior Platform Engineer,DataNexus Corp,Senior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible, Linux, Security","Rust, Go, Performance Tuning, eBPF, Kernel Networking",6,"$135,000 - $165,000"
jd_0092,Associate Full Stack Engineer,Quantum Dynamics,Junior,"React, TypeScript, Remix, Prisma, PostgreSQL, Docker, Git, CSS Modules","Storybook, Cypress, Performance Optimization, Accessibility",0,"$66,000 - $86,000"
jd_0093,SDE II,IronForge Tech,Mid,"Java, Python, Data Structures, Algorithms, System Design, REST APIs, Git","Elixir, Phoenix, PubSub, GenServer",4,"$100,000 - $125,000"
jd_0094,Principal SDE,BluePeak Solutions,Lead,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs, Microservices, Unit Testing","Schema Registry, Redis Streams, Confluent, ksqlDB, Apache Avro",9,"$175,000 - $215,000"
jd_0095,Senior DevOps Engineer,DawnByte Inc.,Senior,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python","Consul, Service Discovery, Nomad, Vault, Secrets Management",6,"$128,000 - $158,000"
jd_0096,Site Reliability Engineer,Meridian Analytics,Mid,"AWS, ECS, Fargate, Terraform, Docker, Python","Load Balancing, Linkerd, Traffic Management, Envoy, Nginx",3,"$93,000 - $119,000"
jd_0097,Platform Engineer,WaveLogic Labs,Mid,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python, CI/CD, IaC, Terraform","Consul, Service Discovery, Secrets Management, Vault, Nomad",5,"$93,000 - $119,000"
jd_0098,AI Engineer,MangoSoft,Mid,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs, Fine-tuning","Weaviate, Semantic Search, Pinecone, Milvus, LlamaIndex",3,"$92,000 - $118,000"
jd_0099,Tech Lead (Full Stack),LightSpeed Dev,Senior,"Vue.js, Express, JavaScript, MongoDB, REST APIs, Docker, Git","OpenSearch, Full-Text Search, Algolia",5,"$128,000 - $158,000"
jd_0100,Principal AI Engineer,ClearPath AI,Lead,"Python, Multi-modal Models, Vision-Language, CLIP, PyTorch, Docker, Git, REST APIs","Ray Serve, Model Registry, Seldon, Kubernetes, BentoML",8,"$175,000 - $215,000"
